Article URL,Title,Date,View,Source,Content
https://www.fromgeek.com/vc/671725.html,Semgrep Completes $100 Million Series D Funding to Help Improve Software Security and Reliability,2025-02-07 16:20:26,4805 people read,Source: IT Industry Network,"Semgrep, an application security platform provider, recently announced the completion of a $100 million Series D financing round led by Menlo Ventures, with participation from Felicis Ventures, Harpoon Ventures, Lightspeed Venture Partners, Redpoint Ventures and Sequoia Capital."
https://www.fromgeek.com/vc/671725.html,Semgrep Completes $100 Million Series D Funding to Help Improve Software Security and Reliability,2025-02-07 16:20:26,4805 people read,Source: IT Industry Network,"Semgrep, an application security platform provider, recently announced the completion of a $100 million Series D financing round led by Menlo Ventures, with participation from Felicis Ventures, Harpoon Ventures, Lightspeed Venture Partners, Redpoint Ventures and Sequoia Capital."
https://www.fromgeek.com/vc/671661.html,Yunlu Composites completes Pre-B+ round of financing to accelerate the development of 3D weaving intelligent equipment,2025-02-07 11:40:04,3562 people read,Source: IT Industry Network,"Recently, Yunlu Composites, which focuses on comprehensive 3D weaving solutions, announced the successful completion of a Pre-B+ round of financing of tens of millions of yuan."
https://www.fromgeek.com/vc/671725.html,Semgrep Completes $100 Million Series D Funding to Help Improve Software Security and Reliability,2025-02-07 16:20:26,4805 people read,Source: IT Industry Network,"Semgrep, an application security platform provider, recently announced the completion of a $100 million Series D financing round led by Menlo Ventures, with participation from Felicis Ventures, Harpoon Ventures, Lightspeed Venture Partners, Redpoint Ventures and Sequoia Capital."
https://www.fromgeek.com/vc/671661.html,Yunlu Composites completes Pre-B+ round of financing to accelerate the development of 3D weaving intelligent equipment,2025-02-07 11:40:04,3562 people read,Source: IT Industry Network,"Recently, Yunlu Composites, which focuses on comprehensive 3D weaving solutions, announced the successful completion of a Pre-B+ round of financing of tens of millions of yuan."
https://www.fromgeek.com/vc/671416.html,LeXiang Technology completed nearly 200 million yuan in angel round financing,2025-02-06 12:00:01,4221 people read,Source: IT Industry Network,"Recently, Suzhou LeXiang Intelligent Technology Co., Ltd. (referred to as ""LeXiang Technology""), founded by former Dreame China CEO Guo Renjie, announced the completion of its angel round of financing."
https://www.fromgeek.com/vc/671725.html,Semgrep Completes $100 Million Series D Funding to Help Improve Software Security and Reliability,2025-02-07 16:20:26,4805 people read,Source: IT Industry Network,"Semgrep, an application security platform provider, recently announced the completion of a $100 million Series D financing round led by Menlo Ventures, with participation from Felicis Ventures, Harpoon Ventures, Lightspeed Venture Partners, Redpoint Ventures and Sequoia Capital."
https://www.fromgeek.com/vc/671661.html,Yunlu Composites completes Pre-B+ round of financing to accelerate the development of 3D weaving intelligent equipment,2025-02-07 11:40:04,3562 people read,Source: IT Industry Network,"Recently, Yunlu Composites, which focuses on comprehensive 3D weaving solutions, announced the successful completion of a Pre-B+ round of financing of tens of millions of yuan."
https://www.fromgeek.com/vc/671416.html,LeXiang Technology completed nearly 200 million yuan in angel round financing,2025-02-06 12:00:01,4221 people read,Source: IT Industry Network,"Recently, Suzhou LeXiang Intelligent Technology Co., Ltd. (referred to as ""LeXiang Technology""), founded by former Dreame China CEO Guo Renjie, announced the completion of its angel round of financing."
https://www.fromgeek.com/vc/670732.html,VLAI Future Power completes angel round financing to accelerate joint motor development and mass production,2025-01-24 15:21:41,1006 people read,Source: DoNews,"Recently, Guangzhou Future Power Co., Ltd. (VL AI Future Power) successfully completed an angel round of financing of several million yuan, with the investor being Qi Ji Chuang Tan. This financing will help the company increase its investment in the research and development of integrated joint motors, expand the joint matrix and hardware iteration upgrades, and accelerate the delivery of mass production orders."
